Scenario,State,Sector,Year,value
Reference,A,Industrial,2030,1.119108894
Reference,A,Transportation,2030,6.039069128
Reference,A,Electric Power,2030,5.208081078
Reference,B,Residential,2030,12.43547565
Reference,B,Commercial,2030,6.861384456
Reference,B,Industrial,2030,5.557311065
Reference,B,Transportation,2030,27.57941948
Reference,B,Electric Power,2030,13.8702186
S1,A,Residential,2012,2.258480778
S1,A,Commercial,2012,1.241260719
S1,A,Industrial,2012,0.841906381
S1,A,Transportation,2012,7.370844294
S1,A,Electric Power,2012,4.0550543
S1,B,Residential,2012,12.60662651
S1,B,Commercial,2012,5.922379834
S1,B,Industrial,2012,4.20570337
S1,B,Transportation,2012,32.34957794
S1,B,Electric Power,2012,12.69308123
S1,A,Residential,2013,2.41724121
S1,A,Commercial,2013,1.288510851
S1,A,Industrial,2013,0.862479641
S1,A,Transportation,2013,7.367422094
S1,A,Electric Power,2013,3.971854325
S1,B,Residential,2013,14.33403306
S1,B,Commercial,2013,6.268323955
S1,B,Industrial,2013,4.388376602
S1,B,Transportation,2013,32.28622998
S1,B,Electric Power,2013,12.40925144
S1,A,Residential,2014,2.447134734
S1,A,Commercial,2014,1.47998046
S1,A,Industrial,2014,0.898655909
S1,A,Transportation,2014,7.273016107
S1,A,Electric Power,2014,4.022856012
S1,B,Residential,2014,14.61012533
S1,B,Commercial,2014,6.759938073
S1,B,Industrial,2014,4.544313413
S1,B,Transportation,2014,31.97194312
S1,B,Electric Power,2014,12.66928108
S1,A,Residential,2015,2.324076808
S1,A,Commercial,2015,1.474154525
S1,A,Industrial,2015,0.964151284
S1,A,Transportation,2015,7.241828532
S1,A,Electric Power,2015,3.812854545
S1,B,Residential,2015,13.85764973
S1,B,Commercial,2015,6.675939384
S1,B,Industrial,2015,4.741439259
S1,B,Transportation,2015,31.91294119
S1,B,Electric Power,2015,12.49421733
S1,A,Residential,2016,2.311961206
S1,A,Commercial,2016,1.490934541
S1,A,Industrial,2016,1.009688029
S1,A,Transportation,2016,7.232596655
S1,A,Electric Power,2016,3.161123981
S1,B,Residential,2016,13.84867073
S1,B,Commercial,2016,6.748570259
S1,B,Industrial,2016,4.94338967
S1,B,Transportation,2016,31.92931645
S1,B,Electric Power,2016,11.43631155
S1,A,Residential,2017,2.295675284
S1,A,Commercial,2017,1.501901311
S1,A,Industrial,2017,1.045904841
S1,A,Transportation,2017,7.21375949
S1,A,Electric Power,2017,4.999333758
S1,B,Residential,2017,13.82274713
S1,B,Commercial,2017,6.804931356
S1,B,Industrial,2017,5.107541068
S1,B,Transportation,2017,31.92170608
S1,B,Electric Power,2017,14.5764202
S1,A,Residential,2018,2.275694219
S1,A,Commercial,2018,1.504972257
S1,A,Industrial,2018,1.076790603
S1,A,Transportation,2018,7.180705947
S1,A,Electric Power,2018,5.076406919
S1,B,Residential,2018,13.76961909
S1,B,Commercial,2018,6.825430997
S1,B,Industrial,2018,5.235345565
S1,B,Transportation,2018,31.84981248
S1,B,Electric Power,2018,14.83327726
S1,A,Residential,2019,2.25385736
S1,A,Commercial,2019,1.505157583
S1,A,Industrial,2019,1.09727179
S1,A,Transportation,2019,7.124875211
S1,A,Electric Power,2019,5.06845118
S1,B,Residential,2019,13.70296065
S1,B,Commercial,2019,6.837438103
S1,B,Industrial,2019,5.337361371
S1,B,Transportation,2019,31.68083843
S1,B,Electric Power,2019,14.77039597
S1,A,Residential,2020,2.232644377
S1,A,Commercial,2020,1.506496564
S1,A,Industrial,2020,1.117684441
S1,A,Transportation,2020,7.050013464
S1,A,Electric Power,2020,5.038737659
S1,B,Residential,2020,13.64377074
S1,B,Commercial,2020,6.854086748
S1,B,Industrial,2020,5.440952806
S1,B,Transportation,2020,31.42518581
S1,B,Electric Power,2020,14.61376668
S1,A,Residential,2021,2.212545189
S1,A,Commercial,2021,1.506840531
S1,A,Industrial,2021,1.134835098
S1,A,Transportation,2021,6.969891605
S1,A,Electric Power,2021,4.925092908
S1,B,Residential,2021,13.5898351
S1,B,Commercial,2021,6.872107002
S1,B,Industrial,2021,5.538509172
S1,B,Transportation,2021,31.14720778
S1,B,Electric Power,2021,14.1229032
S1,A,Residential,2022,2.193630173
S1,A,Commercial,2022,1.507855615
S1,A,Industrial,2022,1.150997538
S1,A,Transportation,2022,6.884146608
S1,A,Electric Power,2022,4.87338871
S1,B,Residential,2022,13.54177756
S1,B,Commercial,2022,6.898746428
S1,B,Industrial,2022,5.634843956
S1,B,Transportation,2022,30.84562109
S1,B,Electric Power,2022,13.89103766
S1,A,Residential,2023,2.175531987
S1,A,Commercial,2023,1.507937392
S1,A,Industrial,2023,1.164112185
S1,A,Transportation,2023,6.791030222
S1,A,Electric Power,2023,4.817095697
S1,B,Residential,2023,13.4881736
S1,B,Commercial,2023,6.914621779
S1,B,Industrial,2023,5.701114272
S1,B,Transportation,2023,30.50878737
S1,B,Electric Power,2023,13.64359177
S1,A,Residential,2024,2.158631078
S1,A,Commercial,2024,1.506638904
S1,A,Industrial,2024,1.175442189
S1,A,Transportation,2024,6.692350802
S1,A,Electric Power,2024,4.790875539
S1,B,Residential,2024,13.43144471
S1,B,Commercial,2024,6.917107501
S1,B,Industrial,2024,5.756692747
S1,B,Transportation,2024,30.15127276
S1,B,Electric Power,2024,13.52055991
S1,A,Residential,2025,2.141327319
S1,A,Commercial,2025,1.504190595
S1,A,Industrial,2025,1.192160589
S1,A,Transportation,2025,6.598734656
S1,A,Electric Power,2025,4.766059703
S1,B,Residential,2025,13.36492386
S1,B,Commercial,2025,6.911566061
S1,B,Industrial,2025,5.837668763
S1,B,Transportation,2025,29.82378835
S1,B,Electric Power,2025,13.39305476
S1,A,Residential,2026,2.124428571
S1,A,Commercial,2026,1.500493945
S1,A,Industrial,2026,1.208324471
S1,A,Transportation,2026,6.514868586
S1,A,Electric Power,2026,5.265821093
S1,B,Residential,2026,13.29844908
S1,B,Commercial,2026,6.901650742
S1,B,Industrial,2026,5.919896561
S1,B,Transportation,2026,29.53045709
S1,B,Electric Power,2026,14.0109925
S1,A,Residential,2027,2.107654895
S1,A,Commercial,2027,1.49874027
S1,A,Industrial,2027,1.218138984
S1,A,Transportation,2027,6.433683651
S1,A,Electric Power,2027,5.960365089
S1,B,Residential,2027,13.23076204
S1,B,Commercial,2027,6.902999989
S1,B,Industrial,2027,5.978284482
S1,B,Transportation,2027,29.24032064
S1,B,Electric Power,2027,14.96627494
S1,A,Residential,2028,2.091081838
S1,A,Commercial,2028,1.497793131
S1,A,Industrial,2028,1.226989186
S1,A,Transportation,2028,6.369193858
S1,A,Electric Power,2028,5.834537013
S1,B,Residential,2028,13.16104261
S1,B,Commercial,2028,6.906985306
S1,B,Industrial,2028,6.032430486
S1,B,Transportation,2028,29.02353961
S1,B,Electric Power,2028,14.65504528
S1,A,Residential,2029,2.074622236
S1,A,Commercial,2029,1.49552151
S1,A,Industrial,2029,1.238361693
S1,A,Transportation,2029,6.323794979
S1,A,Electric Power,2029,5.827356921
S1,B,Residential,2029,13.08722739
S1,B,Commercial,2029,6.905262776
S1,B,Industrial,2029,6.095874313
S1,B,Transportation,2029,28.89044355
S1,B,Electric Power,2029,14.60553118
S1,A,Residential,2030,2.059282713
S1,A,Commercial,2030,1.496971957
S1,A,Industrial,2030,1.252557084
S1,A,Transportation,2030,6.292070871
S1,A,Electric Power,2030,5.7429673
S1,B,Residential,2030,13.0241272
S1,B,Commercial,2030,6.926518739
S1,B,Industrial,2030,6.180784033
S1,B,Transportation,2030,28.81493048
S1,B,Electric Power,2030,14.39122909
S2,A,Residential,2012,2.258480778
S2,A,Commercial,2012,1.241280558
S2,A,Industrial,2012,0.841814176
S2,A,Transportation,2012,7.370844294
S2,A,Electric Power,2012,4.0550543
S2,B,Residential,2012,12.60662651
S2,B,Commercial,2012,5.922443444
S2,B,Industrial,2012,4.205308018
S2,B,Transportation,2012,32.34957794
S2,B,Electric Power,2012,12.69308123
S2,A,Residential,2013,2.41724121
S2,A,Commercial,2013,1.288507629
S2,A,Industrial,2013,0.862510585
S2,A,Transportation,2013,7.36742045
S2,A,Electric Power,2013,3.982819486
S2,B,Residential,2013,14.33403306
S2,B,Commercial,2013,6.268512126
S2,B,Industrial,2013,4.388889974
S2,B,Transportation,2013,32.28619304
S2,B,Electric Power,2013,12.42484334
S2,A,Residential,2014,2.445972021
S2,A,Commercial,2014,1.479892074
S2,A,Industrial,2014,0.885500193
S2,A,Transportation,2014,7.256915388
S2,A,Electric Power,2014,4.052800789
S2,B,Residential,2014,14.59907038
S2,B,Commercial,2014,6.761343932
S2,B,Industrial,2014,4.480519445
S2,B,Transportation,2014,31.89451325
S2,B,Electric Power,2014,12.69756597
S2,A,Residential,2015,2.320149422
S2,A,Commercial,2015,1.47442799
S2,A,Industrial,2015,0.933853887
S2,A,Transportation,2015,7.19911889
S2,A,Electric Power,2015,3.870883535
S2,B,Residential,2015,13.82057902
S2,B,Commercial,2015,6.677400463
S2,B,Industrial,2015,4.61804675
S2,B,Transportation,2015,31.70526893
S2,B,Electric Power,2015,12.54783452
S2,A,Residential,2016,2.296583791
S2,A,Commercial,2016,1.489682059
S2,A,Industrial,2016,0.972175155
S2,A,Transportation,2016,7.18185904
S2,A,Electric Power,2016,3.129487944
S2,B,Residential,2016,13.70512185
S2,B,Commercial,2016,6.740423135
S2,B,Industrial,2016,4.78665217
S2,B,Transportation,2016,31.68010097
S2,B,Electric Power,2016,11.36811921
S2,A,Residential,2017,2.274233858
S2,A,Commercial,2017,1.498959503
S2,A,Industrial,2017,0.993173704
S2,A,Transportation,2017,7.135769135
S2,A,Electric Power,2017,3.601958456
S2,B,Residential,2017,13.61354313
S2,B,Commercial,2017,6.783224543
S2,B,Industrial,2017,4.875278891
S2,B,Transportation,2017,31.53980972
S2,B,Electric Power,2017,12.36347493
S2,A,Residential,2018,2.247988123
S2,A,Commercial,2018,1.500404652
S2,A,Industrial,2018,1.005915968
S2,A,Transportation,2018,7.06810024
S2,A,Electric Power,2018,4.241226729
S2,B,Residential,2018,13.49489442
S2,B,Commercial,2018,6.791819725
S2,B,Industrial,2018,4.925738924
S2,B,Transportation,2018,31.29627325
S2,B,Electric Power,2018,13.47003835
S2,A,Residential,2019,2.219607454
S2,A,Commercial,2019,1.499948723
S2,A,Industrial,2019,1.013775619
S2,A,Transportation,2019,6.98570119
S2,A,Electric Power,2019,4.508175812
S2,B,Residential,2019,13.36507579
S2,B,Commercial,2019,6.80089464
S2,B,Industrial,2019,4.971035843
S2,B,Transportation,2019,30.99599116
S2,B,Electric Power,2019,13.9095834
S2,A,Residential,2020,2.19128324
S2,A,Commercial,2020,1.497910306
S2,A,Industrial,2020,1.023108678
S2,A,Transportation,2020,6.897079946
S2,A,Electric Power,2020,4.411089029
S2,B,Residential,2020,13.23862975
S2,B,Commercial,2020,6.80701597
S2,B,Industrial,2020,5.029078524
S2,B,Transportation,2020,30.66835047
S2,B,Electric Power,2020,13.67357526
S2,A,Residential,2021,2.163098829
S2,A,Commercial,2021,1.494120145
S2,A,Industrial,2021,1.030786791
S2,A,Transportation,2021,6.803727026
S2,A,Electric Power,2021,4.562956701
S2,B,Residential,2021,13.10629508
S2,B,Commercial,2021,6.800428761
S2,B,Industrial,2021,5.075690222
S2,B,Transportation,2021,30.32381992
S2,B,Electric Power,2021,13.75395177
S2,A,Residential,2022,2.1359409
S2,A,Commercial,2022,1.489367659
S2,A,Industrial,2022,1.039432403
S2,A,Transportation,2022,6.707387659
S2,A,Electric Power,2022,4.483443569
S2,B,Residential,2022,12.97537718
S2,B,Commercial,2022,6.792014081
S2,B,Industrial,2022,5.129653277
S2,B,Transportation,2022,29.96762987
S2,B,Electric Power,2022,13.43960221
S2,A,Residential,2023,2.11069892
S2,A,Commercial,2023,1.486894936
